role,style,n,style_id,top_z,exemplars
Advanced Midfielder,Conventional Advanced Midfielder,117,2,create_arrive+0.63; carry_pass+0.40; combine_cross-0.38; poacher_longrange-0.33; openplay_deadball-0.30,"Tiago Ronaldo, Yannick Semedo, Coquinho, Caleb, Marcelo Vilela, D. Soumaré"
Advanced Midfielder,Advanced Playmaker,105,0,create_arrive-1.07; poacher_longrange+0.66; buildup_stretch-0.62; carry_pass+0.61; openplay_deadball+0.46,"Tiago Morgado, Leandro Silva, Diogo Paulo, Reko, Vasco Braga, J. Pereira"
Advanced Midfielder,Ball Carrier,94,1,carry_pass-1.17; buildup_stretch+0.66; low_high+0.50; central_wide+0.45; create_arrive+0.40,"Faissal Zangré, Caleb, Diogo Martins, Diogo Ramalho, Juninho, Mauro Santos"
Central Defender,Conventional Central Defender,281,3,passive_active-0.29; carry_pass+0.09; return_circulate+0.09; outside_between-0.09; building_attacking-0.08,"D. Lytvyn, D. Collard, Leandro Teixeira, Zé Simão, Miguel Rosário, F. Mendes"
Central Defender,Conservative Defender,135,2,secure_progressive-1.26; return_circulate-0.77; passive_active_buildup+0.60; building_attacking-0.59; stationary_adventurous-0.56,"José Pedro, Ricardo Teixeira, Carimo Conté, Diogo Amaro, Guilherme Soares, L. Henriques"
Central Defender,Ball-Playing Defender,110,1,secure_progressive+1.46; return_circulate+0.75; building_attacking+0.65; passive_active_buildup-0.55; stationary_adventurous+0.44,"Rui Filipe, Hugo Ventosa, Cassiano, Thomas Militão, Pedro Casagrande, Moussa Camara"
Central Defender,Aggressive Defender,100,0,passive_active+1.40; low_high+0.34; outside_between+0.32; building_attacking+0.31; stationary_adventurous+0.25,"Diogo Gomes, António Montez, André Sousa, Edgar Almeida, Manuel Pedro, Weliton Matos"
Deep Midfielder,Conventional Deep Midfielder,168,1,carry_pass+0.46; passive_active_buildup-0.31; counterpress_retreat-0.10; low_high-0.10; passive_active-0.08,"Braima Sambú, Henrique Martins, Rúben Oliveira, Legatheaux, Bela Tavares, Ricardo Rocha"
Deep Midfielder,Carrying Midfielder,119,0,carry_pass-1.17; passive_active_buildup-0.65; low_high+0.59; stationary_adventurous+0.35; counterpress_retreat-0.12,"F. Okoli, António Montez, Vasco Rocha, Leandro Borges, Fernando Almeida, Pedro Pinto"
Deep Midfielder,Deep-Lying Playmaker,105,2,passive_active_buildup+1.24; carry_pass+0.59; low_high-0.51; stationary_adventurous-0.36; counterpress_retreat+0.29,"Tiago Morgado, Marco Grilo, Paulo Grilo, Chico, Diogo Paulo, Didi"
Striker,Conventional Striker,105,0,ground_aerial-0.67; come_short_run_behind-0.46; carry_pass-0.45; create_arrive-0.36; poacher_longrange+0.27,"João Tarzan, Manuel Mendonça, João Victor, Alex Tanque, João Costa, André Soares"
Striker,Target Striker,71,3,ground_aerial+1.16; create_arrive+0.69; carry_pass+0.52; come_short_run_behind+0.48; poacher_longrange-0.35,"M. Niang, Balotelli, Tiago Leite, Ká Semedo, M. Diarra, Rodrigo Pereira"
Striker,Running Striker,54,2,come_short_run_behind+0.96; carry_pass-0.85; buildup_stretch+0.70; stationary_mobile-0.47; low_high+0.44,"Elijah Benedict, J. Perea, Henrique Cavalcante, S. Kanu, C. Niang, O. James"
Striker,Link-Up Striker,49,1,carry_pass+1.14; buildup_stretch-0.77; come_short_run_behind-0.77; stationary_mobile+0.49; create_arrive-0.49,"Elias Franco, João Marna, Diogo Leitão, Dida, Joel Carvalho, Didi"
Wide Attacker,Conventional Wide Attacker,181,0,carry_pass+0.32; stationary_mobile+0.28; combine_cross-0.20; central_wide-0.20; low_high-0.06,"Mauro Couto, Nuninho, Fausto Lourenço, Jefferson Nem, Rui Batalha, André Dias"
Wide Attacker,Wide Playmaker,96,3,create_arrive-1.37; openplay_deadball+0.76; carry_pass+0.73; secure_progressive+0.63; combine_cross+0.49,"André Guedes, Miguel Lopes, G. Águas, João Pais, Jefferson Nem, Tiago Antunes"
Wide Attacker,Wide Arriver,84,1,create_arrive+1.34; secure_progressive-0.65; openplay_deadball-0.59; central_wide-0.51; combine_cross-0.50,"Miguel Pereira, K. Kalunga, J. Saint-Louis, Pedro Matos, Pedro Ribeiro, Ricardo Brito"
Wide Attacker,Wide Dribbler,79,2,carry_pass-1.41; stationary_mobile-0.64; cut_inside_outside-0.56; central_wide+0.46; openplay_deadball-0.40,"B. Cipenga, Evandro Barros, Léo Teixeira, Clé, Ricardo Isabelinha, Franco Almara"
Wide Defender,Combining Fullback,184,0,combine_cross-1.02; secure_progressive-0.59; create_arrive+0.44; building_attacking-0.28; passive_active-0.27,"Diogo Brasido, Diogo Ribeiro, Joel Monteiro, Rodrigo Silva, João Vigário, Edson Farias"
Wide Defender,Wingback,175,3,combine_cross+1.09; secure_progressive+0.44; building_attacking+0.41; openplay_deadball+0.36; passive_active-0.33,"Armando Lopes, Rui Ferreira, João Pinto, Nandinho, Itto Cruz, Francisco Ferreira"
Wide Defender,Defensive Fullback,135,2,passive_active+1.15; building_attacking-0.24; secure_progressive+0.19; openplay_deadball-0.16; create_arrive-0.11,"E. Banguera, Nhayson, Pedro Araújo, Breno Pais, Miguel Silva, João Pinto"
Wide Defender,Conventional Wide Defender,75,1,passive_active-0.63; stationary_mobile-0.26; create_arrive-0.24; building_attacking+0.16; carry_pass+0.13,"João Ricardo, Diogo Castro, Ruca, E. Banguera, Kiko Vilas Boas, Miguel Pereira"
